,Disposable,Faceshield,Reusable
2008,0,1,0
5364,1,0,0
682,0,1,0
3895,1,0,0
4672,1,0,0
5729,1,0,0
2859,1,0,0
4023,1,0,0
57,0,1,0
3955,1,0,0
5680,1,0,0
6323,1,0,0
2399,0,1,0
6637,1,0,0
46,0,1,0
30,0,1,0
10338,0,0,1
5770,1,0,0
6388,1,0,0
5338,1,0,0
1468,0,1,0
1665,0,1,0
1416,0,1,0
6627,1,0,0
2358,0,1,0
6518,1,0,0
1323,0,1,0
4291,1,0,0
4738,1,0,0
11175,0,0,1
9893,0,0,1
11194,0,0,1
429,0,1,0
7219,0,0,1
3984,1,0,0
385,0,1,0
1945,0,1,0
7662,0,0,1
3869,1,0,0
4828,1,0,0
10948,0,0,1
473,0,1,0
7129,0,0,1
4007,1,0,0
6107,1,0,0
8240,0,0,1
9202,0,0,1
578,0,1,0
8372,0,0,1
10853,0,0,1
1055,0,1,0
2281,0,1,0
6822,1,0,0
4999,1,0,0
4618,1,0,0
10654,0,0,1
3445,1,0,0
9415,0,0,1
4228,1,0,0
3169,1,0,0
811,0,1,0
11542,0,0,1
10545,0,0,1
1075,0,1,0
1115,0,1,0
5835,1,0,0
3533,1,0,0
6176,1,0,0
2755,1,0,0
460,0,1,0
3045,1,0,0
6434,1,0,0
3032,1,0,0
111,0,1,0
7058,0,0,1
10397,0,0,1
5666,1,0,0
7672,0,0,1
1745,0,1,0
9237,0,0,1
1452,0,1,0
2149,0,1,0
319,0,1,0
4830,1,0,0
61,0,1,0
2673,1,0,0
1922,0,1,0
8054,0,0,1
10369,0,0,1
6391,1,0,0
9432,0,0,1
8450,0,0,1
5858,1,0,0
4606,1,0,0
2129,0,1,0
8494,0,0,1
4315,1,0,0
7443,0,0,1
8359,0,0,1
10634,0,0,1
9136,0,0,1
10042,0,0,1
10224,0,0,1
5278,1,0,0
7229,0,0,1
10412,0,0,1
11591,0,0,1
1052,0,1,0
11186,0,0,1
4560,1,0,0
7791,0,0,1
10820,0,0,1
99,0,1,0
10992,0,0,1
1456,0,1,0
8301,0,0,1
361,0,1,0
812,0,1,0
1092,0,1,0
4374,1,0,0
11506,0,0,1
3145,1,0,0
10727,0,0,1
5411,1,0,0
11443,0,0,1
8083,0,0,1
7447,0,0,1
1890,0,1,0
1035,0,1,0
5155,1,0,0
6929,1,0,0
1414,0,1,0
540,0,1,0
7991,0,0,1
5467,1,0,0
4224,1,0,0
10073,0,0,1
9267,0,0,1
1146,0,1,0
5963,1,0,0
10536,0,0,1
754,0,1,0
5328,1,0,0
2003,0,1,0
5985,1,0,0
2542,0,1,0
6214,1,0,0
9073,0,0,1
5701,1,0,0
11107,0,0,1
3936,1,0,0
3130,1,0,0
2957,1,0,0
10985,0,0,1
10014,0,0,1
10796,0,0,1
9360,0,0,1
100,0,1,0
2608,1,0,0
6560,1,0,0
8000,0,0,1
7506,0,0,1
9892,0,0,1
7412,0,0,1
6686,1,0,0
4347,1,0,0
8177,0,0,1
7176,0,0,1
601,0,1,0
4299,1,0,0
10408,0,0,1
4807,1,0,0
9327,0,0,1
10953,0,0,1
3883,1,0,0
10373,0,0,1
6487,1,0,0
1044,0,1,0
9056,0,0,1
1557,0,1,0
5369,1,0,0
3752,1,0,0
1487,0,1,0
9038,0,0,1
9286,0,0,1
180,0,1,0
10728,0,0,1
9813,0,0,1
2115,0,1,0
1699,0,1,0
1379,0,1,0
2228,0,1,0
2404,0,1,0
1395,0,1,0
10120,0,0,1
618,0,1,0
9798,0,0,1
5165,1,0,0
3396,1,0,0
1600,0,1,0
9430,0,0,1
10912,0,0,1
1615,0,1,0
8118,0,0,1
5480,1,0,0
2083,0,1,0
8495,0,0,1
8463,0,0,1
7467,0,0,1
9099,0,0,1
8733,0,0,1
675,0,1,0
2545,0,1,0
9716,0,0,1
3999,1,0,0
11618,0,0,1
10189,0,0,1
8127,0,0,1
3609,1,0,0
9601,0,0,1
3787,1,0,0
2225,0,1,0
6685,1,0,0
5526,1,0,0
1126,0,1,0
6459,1,0,0
6393,1,0,0
2441,0,1,0
1322,0,1,0
1603,0,1,0
10409,0,0,1
10050,0,0,1
4065,1,0,0
7636,0,0,1
10911,0,0,1
8273,0,0,1
10831,0,0,1
4071,1,0,0
1507,0,1,0
1559,0,1,0
5081,1,0,0
4982,1,0,0
4393,1,0,0
9522,0,0,1
5516,1,0,0
1836,0,1,0
1354,0,1,0
10259,0,0,1
10293,0,0,1
5466,1,0,0
4032,1,0,0
10652,0,0,1
6678,1,0,0
8253,0,0,1
8449,0,0,1
2251,0,1,0
1025,0,1,0
7612,0,0,1
5202,1,0,0
4924,1,0,0
4705,1,0,0
3397,1,0,0
313,0,1,0
10022,0,0,1
9947,0,0,1
6964,0,0,1
10069,0,0,1
5739,1,0,0
4963,1,0,0
2970,1,0,0
9216,0,0,1
7948,0,0,1
3885,1,0,0
11206,0,0,1
9023,0,0,1
4681,1,0,0
8366,0,0,1
4233,1,0,0
6208,1,0,0
8790,0,0,1
5579,1,0,0
10790,0,0,1
1840,0,1,0
10606,0,0,1
6252,1,0,0
3673,1,0,0
9737,0,0,1
11655,0,0,1
3320,1,0,0
2272,0,1,0
847,0,1,0
9636,0,0,1
6595,1,0,0
5438,1,0,0
7615,0,0,1
7276,0,0,1
1417,0,1,0
7335,0,0,1
3848,1,0,0
604,0,1,0
5527,1,0,0
2078,0,1,0
7008,0,0,1
2311,0,1,0
5936,1,0,0
1982,0,1,0
199,0,1,0
485,0,1,0
3270,1,0,0
2823,1,0,0
3245,1,0,0
8251,0,0,1
5062,1,0,0
3749,1,0,0
7428,0,0,1
10181,0,0,1
9537,0,0,1
2794,1,0,0
7773,0,0,1
7915,0,0,1
7981,0,0,1
524,0,1,0
947,0,1,0
9024,0,0,1
9263,0,0,1
1280,0,1,0
122,0,1,0
4711,1,0,0
4985,1,0,0
2302,0,1,0
10531,0,0,1
11615,0,0,1
1005,0,1,0
3460,1,0,0
5721,1,0,0
8760,0,0,1
10484,0,0,1
3055,1,0,0
3566,1,0,0
5389,1,0,0
2132,0,1,0
5843,1,0,0
10617,0,0,1
229,0,1,0
6001,1,0,0
4001,1,0,0
10660,0,0,1
8204,0,0,1
10830,0,0,1
3007,1,0,0
8784,0,0,1
4221,1,0,0
6248,1,0,0
10558,0,0,1
2750,1,0,0
9205,0,0,1
4783,1,0,0
2944,1,0,0
4441,1,0,0
2718,1,0,0
6383,1,0,0
7952,0,0,1
11234,0,0,1
5723,1,0,0
11258,0,0,1
4161,1,0,0
9946,0,0,1
8997,0,0,1
9353,0,0,1
9612,0,0,1
11092,0,0,1
10244,0,0,1
10336,0,0,1
5654,1,0,0
1017,0,1,0
6887,1,0,0
1928,0,1,0
350,0,1,0
5743,1,0,0
10905,0,0,1
8797,0,0,1
10335,0,0,1
5522,1,0,0
6920,1,0,0
564,0,1,0
1582,0,1,0
2175,0,1,0
6699,1,0,0
8794,0,0,1
3933,1,0,0
2707,1,0,0
11516,0,0,1
11619,0,0,1
3535,1,0,0
5171,1,0,0
6940,0,0,1
9832,0,0,1
3739,1,0,0
9140,0,0,1
821,0,1,0
2063,0,1,0
7624,0,0,1
81,0,1,0
10029,0,0,1
2697,1,0,0
831,0,1,0
3826,1,0,0
8802,0,0,1
2833,1,0,0
9657,0,0,1
10845,0,0,1
6014,1,0,0
48,0,1,0
6216,1,0,0
7039,0,0,1
7678,0,0,1
8938,0,0,1
11455,0,0,1
8921,0,0,1
4095,1,0,0
2689,1,0,0
5359,1,0,0
8466,0,0,1
6280,1,0,0
2373,0,1,0
9723,0,0,1
2758,1,0,0
6908,1,0,0
8376,0,0,1
5181,1,0,0
7785,0,0,1
3880,1,0,0
7293,0,0,1
4521,1,0,0
10708,0,0,1
4969,1,0,0
6120,1,0,0
3945,1,0,0
9777,0,0,1
2164,0,1,0
2886,1,0,0
4791,1,0,0
9515,0,0,1
11226,0,0,1
9113,0,0,1
172,0,1,0
639,0,1,0
4641,1,0,0
8949,0,0,1
1143,0,1,0
8412,0,0,1
6762,1,0,0
9774,0,0,1
1832,0,1,0
10940,0,0,1
7278,0,0,1
3686,1,0,0
8870,0,0,1
6053,1,0,0
5657,1,0,0
6951,0,0,1
834,0,1,0
2486,0,1,0
8741,0,0,1
5397,1,0,0
6234,1,0,0
8818,0,0,1
10287,0,0,1
6424,1,0,0
65,0,1,0
9897,0,0,1
8203,0,0,1
8658,0,0,1
2024,0,1,0
5863,1,0,0
354,0,1,0
6080,1,0,0
5790,1,0,0
9469,0,0,1
9564,0,0,1
8488,0,0,1
6258,1,0,0
3127,1,0,0
9481,0,0,1
8153,0,0,1
4403,1,0,0
5470,1,0,0
5391,1,0,0
4354,1,0,0
11420,0,0,1
5006,1,0,0
7021,0,0,1
4418,1,0,0
2583,0,1,0
11178,0,0,1
2770,1,0,0
8422,0,0,1
7757,0,0,1
6758,1,0,0
3209,1,0,0
11483,0,0,1
3905,1,0,0
5908,1,0,0
5357,1,0,0
5875,1,0,0
2379,0,1,0
8099,0,0,1
5916,1,0,0
4169,1,0,0
5576,1,0,0
3428,1,0,0
1101,0,1,0
8287,0,0,1
11159,0,0,1
11127,0,0,1
8003,0,0,1
7642,0,0,1
4140,1,0,0
3557,1,0,0
6507,1,0,0
118,0,1,0
2022,0,1,0
4449,1,0,0
4453,1,0,0
10405,0,0,1
10791,0,0,1
8394,0,0,1
4789,1,0,0
9210,0,0,1
4273,1,0,0
5767,1,0,0
87,0,1,0
11513,0,0,1
3382,1,0,0
7325,0,0,1
403,0,1,0
3350,1,0,0
11489,0,0,1
10746,0,0,1
8247,0,0,1
2241,0,1,0
8339,0,0,1
7182,0,0,1
1027,0,1,0
11323,0,0,1
5601,1,0,0
2436,0,1,0
7631,0,0,1
1278,0,1,0
9049,0,0,1
11228,0,0,1
1425,0,1,0
6290,1,0,0
1502,0,1,0
11366,0,0,1
9997,0,0,1
8020,0,0,1
10441,0,0,1
678,0,1,0
8079,0,0,1
8119,0,0,1
6437,1,0,0
5400,1,0,0
1070,0,1,0
6621,1,0,0
2480,0,1,0
9703,0,0,1
3392,1,0,0
9364,0,0,1
6149,1,0,0
7149,0,0,1
418,0,1,0
10458,0,0,1
4810,1,0,0
1947,0,1,0
3336,1,0,0
2299,0,1,0
6223,1,0,0
6719,1,0,0
208,0,1,0
9846,0,0,1
8642,0,0,1
5028,1,0,0
528,0,1,0
779,0,1,0
722,0,1,0
9036,0,0,1
1860,0,1,0
9895,0,0,1
11155,0,0,1
9884,0,0,1
10585,0,0,1
1992,0,1,0
2332,0,1,0
7053,0,0,1
7300,0,0,1
5371,1,0,0
3459,1,0,0
10249,0,0,1
6375,1,0,0
6805,1,0,0
9141,0,0,1
9727,0,0,1
257,0,1,0
8904,0,0,1
8844,0,0,1
10054,0,0,1
10690,0,0,1
6850,1,0,0
3625,1,0,0
702,0,1,0
3189,1,0,0
503,0,1,0
10289,0,0,1
7744,0,0,1
11498,0,0,1
2248,0,1,0
372,0,1,0
4052,1,0,0
3937,1,0,0
11539,0,0,1
4076,1,0,0
997,0,1,0
4332,1,0,0
1176,0,1,0
11302,0,0,1
551,0,1,0
4372,1,0,0
3497,1,0,0
4885,1,0,0
11032,0,0,1
9452,0,0,1
6494,1,0,0
9494,0,0,1
9604,0,0,1
6844,1,0,0
7853,0,0,1
693,0,1,0
2533,0,1,0
3443,1,0,0
982,0,1,0
9050,0,0,1
10984,0,0,1
4222,1,0,0
91,0,1,0
2266,0,1,0
8375,0,0,1
11100,0,0,1
261,0,1,0
3337,1,0,0
7118,0,0,1
5504,1,0,0
6503,1,0,0
445,0,1,0
3555,1,0,0
2194,0,1,0
8371,0,0,1
6526,1,0,0
2867,1,0,0
2526,0,1,0
7366,0,0,1
8341,0,0,1
7671,0,0,1
1168,0,1,0
4144,1,0,0
84,0,1,0
3149,1,0,0
6057,1,0,0
880,0,1,0
6382,1,0,0
7445,0,0,1
1467,0,1,0
8543,0,0,1
8791,0,0,1
6421,1,0,0
4326,1,0,0
4044,1,0,0
4137,1,0,0
3039,1,0,0
10325,0,0,1
7625,0,0,1
579,0,1,0
8198,0,0,1
8598,0,0,1
4851,1,0,0
9199,0,0,1
11521,0,0,1
4157,1,0,0
7092,0,0,1
413,0,1,0
402,0,1,0
4428,1,0,0
2084,0,1,0
3057,1,0,0
8751,0,0,1
164,0,1,0
10413,0,0,1
4302,1,0,0
7414,0,0,1
8735,0,0,1
3317,1,0,0
9362,0,0,1
3934,1,0,0
11027,0,0,1
1334,0,1,0
8981,0,0,1
753,0,1,0
3064,1,0,0
706,0,1,0
7839,0,0,1
4573,1,0,0
4617,1,0,0
3151,1,0,0
3799,1,0,0
4022,1,0,0
1074,0,1,0
7464,0,0,1
3438,1,0,0
6180,1,0,0
7614,0,0,1
10655,0,0,1
2429,0,1,0
246,0,1,0
3815,1,0,0
5220,1,0,0
3632,1,0,0
8934,0,0,1
2262,0,1,0
2246,0,1,0
835,0,1,0
432,0,1,0
8051,0,0,1
1173,0,1,0
8112,0,0,1
6853,1,0,0
11245,0,0,1
4684,1,0,0
11414,0,0,1
4923,1,0,0
4847,1,0,0
6022,1,0,0
8037,0,0,1
2729,1,0,0
11546,0,0,1
433,0,1,0
10991,0,0,1
8857,0,0,1
10609,0,0,1
6671,1,0,0
6983,0,0,1
5421,1,0,0
8727,0,0,1
4002,1,0,0
1332,0,1,0
7204,0,0,1
5087,1,0,0
5035,1,0,0
1443,0,1,0
6425,1,0,0
9565,0,0,1
7960,0,0,1
9775,0,0,1
6174,1,0,0
9226,0,0,1
2569,0,1,0
8364,0,0,1
4277,1,0,0
3666,1,0,0
8101,0,0,1
2446,0,1,0
8471,0,0,1
3657,1,0,0
9428,0,0,1
3172,1,0,0
1223,0,1,0
5273,1,0,0
7523,0,0,1
544,0,1,0
1204,0,1,0
11333,0,0,1
6018,1,0,0
10626,0,0,1
2637,1,0,0
11352,0,0,1
5015,1,0,0
9747,0,0,1
5871,1,0,0
11492,0,0,1
877,0,1,0
9478,0,0,1
196,0,1,0
11371,0,0,1
3383,1,0,0
4379,1,0,0
7963,0,0,1
8373,0,0,1
2997,1,0,0
6885,1,0,0
2571,0,1,0
5379,1,0,0
10068,0,0,1
10939,0,0,1
11174,0,0,1
4163,1,0,0
4722,1,0,0
5211,1,0,0
9944,0,0,1
2682,1,0,0
2508,0,1,0
9647,0,0,1
1510,0,1,0
7905,0,0,1
10420,0,0,1
1244,0,1,0
5076,1,0,0
5820,1,0,0
10285,0,0,1
4121,1,0,0
8470,0,0,1
5138,1,0,0
6322,1,0,0
5958,1,0,0
254,0,1,0
8360,0,0,1
4511,1,0,0
6355,1,0,0
9639,0,0,1
759,0,1,0
654,0,1,0
6922,1,0,0
3401,1,0,0
1420,0,1,0
3044,1,0,0
2830,1,0,0
8501,0,0,1
328,0,1,0
253,0,1,0
6650,1,0,0
4377,1,0,0
3019,1,0,0
3029,1,0,0
2636,1,0,0
6158,1,0,0
3018,1,0,0
2945,1,0,0
3659,1,0,0
8274,0,0,1
6688,1,0,0
11277,0,0,1
2663,1,0,0
5190,1,0,0
1362,0,1,0
5206,1,0,0
3481,1,0,0
11236,0,0,1
9395,0,0,1
9887,0,0,1
4868,1,0,0
11121,0,0,1
2880,1,0,0
3381,1,0,0
1302,0,1,0
6159,1,0,0
5597,1,0,0
9592,0,0,1
4918,1,0,0
8049,0,0,1
942,0,1,0
3235,1,0,0
3257,1,0,0
7463,0,0,1
8653,0,0,1
176,0,1,0
435,0,1,0
5008,1,0,0
308,0,1,0
1565,0,1,0
3964,1,0,0
7700,0,0,1
7238,0,0,1
10241,0,0,1
5549,1,0,0
9559,0,0,1
595,0,1,0
5024,1,0,0
4625,1,0,0
7591,0,0,1
9704,0,0,1
2623,1,0,0
4572,1,0,0
8868,0,0,1
10680,0,0,1
231,0,1,0
179,0,1,0
737,0,1,0
11212,0,0,1
8558,0,0,1
7023,0,0,1
5692,1,0,0
7037,0,0,1
7281,0,0,1
1321,0,1,0
1995,0,1,0
5833,1,0,0
8799,0,0,1
800,0,1,0
9289,0,0,1
7800,0,0,1
9542,0,0,1
69,0,1,0
5836,1,0,0
10331,0,0,1
1680,0,1,0
377,0,1,0
1469,0,1,0
2603,1,0,0
4181,1,0,0
10084,0,0,1
4505,1,0,0
4230,1,0,0
3091,1,0,0
2726,1,0,0
477,0,1,0
1329,0,1,0
2283,0,1,0
3732,1,0,0
11496,0,0,1
751,0,1,0
5981,1,0,0
6672,1,0,0
873,0,1,0
7139,0,0,1
10547,0,0,1
4564,1,0,0
1545,0,1,0
739,0,1,0
9991,0,0,1
2683,1,0,0
10414,0,0,1
8638,0,0,1
7383,0,0,1
3518,1,0,0
4881,1,0,0
2354,0,1,0
9852,0,0,1
8893,0,0,1
773,0,1,0
8497,0,0,1
10283,0,0,1
9243,0,0,1
641,0,1,0
5795,1,0,0
5551,1,0,0
9856,0,0,1
6926,1,0,0
4309,1,0,0
865,0,1,0
9368,0,0,1
11162,0,0,1
6746,1,0,0
11532,0,0,1
6779,1,0,0
9676,0,0,1
11594,0,0,1
962,0,1,0
10594,0,0,1
7582,0,0,1
8944,0,0,1
9450,0,0,1
3309,1,0,0
2166,0,1,0
363,0,1,0
3723,1,0,0
2825,1,0,0
3597,1,0,0
4726,1,0,0
546,0,1,0
2940,1,0,0
471,0,1,0
1641,0,1,0
10509,0,0,1
3338,1,0,0
7109,0,0,1
1172,0,1,0
6552,1,0,0
10844,0,0,1
7840,0,0,1
6224,1,0,0
6325,1,0,0
4981,1,0,0
10807,0,0,1
9981,0,0,1
1410,0,1,0
6608,1,0,0
5464,1,0,0
10978,0,0,1
8696,0,0,1
2694,1,0,0
815,0,1,0
2131,0,1,0
1797,0,1,0
4575,1,0,0
3122,1,0,0
7926,0,0,1
4275,1,0,0
10800,0,0,1
9761,0,0,1
6298,1,0,0
9889,0,0,1
7348,0,0,1
237,0,1,0
1532,0,1,0
10988,0,0,1
6084,1,0,0
3410,1,0,0
2831,1,0,0
10630,0,0,1
1535,0,1,0
3879,1,0,0
1299,0,1,0
4991,1,0,0
10421,0,0,1
1480,0,1,0
2793,1,0,0
9809,0,0,1
11409,0,0,1
2329,0,1,0
5417,1,0,0
9488,0,0,1
6740,1,0,0
5610,1,0,0
3661,1,0,0
555,0,1,0
4825,1,0,0
1163,0,1,0
6835,1,0,0
4715,1,0,0
397,0,1,0
8018,0,0,1
7243,0,0,1
10266,0,0,1
5837,1,0,0
7212,0,0,1
9055,0,0,1
723,0,1,0
300,0,1,0
9804,0,0,1
8773,0,0,1
4294,1,0,0
4952,1,0,0
4185,1,0,0
5943,1,0,0
11614,0,0,1
11469,0,0,1
3142,1,0,0
5635,1,0,0
3205,1,0,0
4955,1,0,0
4582,1,0,0
10575,0,0,1
11167,0,0,1
10107,0,0,1
9863,0,0,1
1152,0,1,0
1212,0,1,0
4503,1,0,0
9590,0,0,1
11321,0,0,1
8517,0,0,1
6611,1,0,0
8809,0,0,1
665,0,1,0
10523,0,0,1
642,0,1,0
10787,0,0,1
3767,1,0,0
4272,1,0,0
5153,1,0,0
786,0,1,0
2857,1,0,0
3202,1,0,0
6604,1,0,0
4187,1,0,0
9222,0,0,1
11577,0,0,1
4824,1,0,0
2905,1,0,0
4626,1,0,0
7159,0,0,1
996,0,1,0
5786,1,0,0
9959,0,0,1
8565,0,0,1
9956,0,0,1
156,0,1,0
8752,0,0,1
3085,1,0,0
8091,0,0,1
1552,0,1,0
5700,1,0,0
9416,0,0,1
3795,1,0,0
495,0,1,0
2321,0,1,0
6357,1,0,0
8304,0,0,1
151,0,1,0
9816,0,0,1
8885,0,0,1
6061,1,0,0
7821,0,0,1
1738,0,1,0
3001,1,0,0
10455,0,0,1
7319,0,0,1
8317,0,0,1
10514,0,0,1
2883,1,0,0
3720,1,0,0
7933,0,0,1
9954,0,0,1
7831,0,0,1
6345,1,0,0
10678,0,0,1
2276,0,1,0
4823,1,0,0
4704,1,0,0
4461,1,0,0
343,0,1,0
5736,1,0,0
4136,1,0,0
10724,0,0,1
5775,1,0,0
5844,1,0,0
2223,0,1,0
4196,1,0,0
7213,0,0,1
7477,0,0,1
8454,0,0,1
6706,1,0,0
6118,1,0,0
10667,0,0,1
4734,1,0,0
6186,1,0,0
1465,0,1,0
4593,1,0,0
2234,0,1,0
6346,1,0,0
3903,1,0,0
8876,0,0,1
10814,0,0,1
7406,0,0,1
10007,0,0,1
7900,0,0,1
11177,0,0,1
4151,1,0,0
8160,0,0,1
2121,0,1,0
5099,1,0,0
5012,1,0,0
9002,0,0,1
5688,1,0,0
3161,1,0,0
2630,1,0,0
6681,1,0,0
9932,0,0,1
7459,0,0,1
10475,0,0,1
1203,0,1,0
8391,0,0,1
616,0,1,0
1926,0,1,0
3114,1,0,0
2641,1,0,0
10468,0,0,1
2562,0,1,0
5605,1,0,0
2728,1,0,0
5288,1,0,0
9271,0,0,1
2126,0,1,0
5883,1,0,0
9623,0,0,1
7972,0,0,1
8834,0,0,1
805,0,1,0
4694,1,0,0
7104,0,0,1
5747,1,0,0
3140,1,0,0
4280,1,0,0
8822,0,0,1
9351,0,0,1
9197,0,0,1
547,0,1,0
26,0,1,0
6800,1,0,0
3918,1,0,0
4486,1,0,0
7988,0,0,1
5521,1,0,0
1221,0,1,0
6858,1,0,0
2548,0,1,0
11050,0,0,1
437,0,1,0
5993,1,0,0
9877,0,0,1
1861,0,1,0
2699,1,0,0
8115,0,0,1
8933,0,0,1
2481,0,1,0
5481,1,0,0
9842,0,0,1
2706,1,0,0
7655,0,0,1
326,0,1,0
2499,0,1,0
1004,0,1,0
6808,1,0,0
6646,1,0,0
4011,1,0,0
10440,0,0,1
534,0,1,0
7242,0,0,1
3960,1,0,0
585,0,1,0
9618,0,0,1
8074,0,0,1
6075,1,0,0
8836,0,0,1
7660,0,0,1
491,0,1,0
8310,0,0,1
8740,0,0,1
7235,0,0,1
10622,0,0,1
9171,0,0,1
3548,1,0,0
5852,1,0,0
1916,0,1,0
3185,1,0,0
7711,0,0,1
1910,0,1,0
7324,0,0,1
7433,0,0,1
1133,0,1,0
7078,0,0,1
10736,0,0,1
2518,0,1,0
8399,0,0,1
1317,0,1,0
4368,1,0,0
121,0,1,0
10876,0,0,1
2449,0,1,0
11144,0,0,1
10128,0,0,1
2601,1,0,0
1522,0,1,0
8411,0,0,1
2173,0,1,0
3283,1,0,0
4554,1,0,0
3605,1,0,0
10060,0,0,1
8749,0,0,1
5317,1,0,0
10588,0,0,1
3768,1,0,0
6515,1,0,0
9805,0,0,1
4038,1,0,0
3502,1,0,0
1407,0,1,0
4631,1,0,0
6715,1,0,0
11452,0,0,1
8012,0,0,1
8929,0,0,1
2579,0,1,0
5265,1,0,0
3269,1,0,0
11148,0,0,1
1867,0,1,0
11559,0,0,1
7210,0,0,1
2521,0,1,0
6092,1,0,0
1820,0,1,0
9307,0,0,1
51,0,1,0
3888,1,0,0
5187,1,0,0
7514,0,0,1
3577,1,0,0
4565,1,0,0
9614,0,0,1
5840,1,0,0
1858,0,1,0
6946,0,0,1
11122,0,0,1
4961,1,0,0
6877,1,0,0
6760,1,0,0
10517,0,0,1
10768,0,0,1
5198,1,0,0
6725,1,0,0
425,0,1,0
4284,1,0,0
11083,0,0,1
8284,0,0,1
228,0,1,0
10258,0,0,1
2741,1,0,0
5137,1,0,0
10206,0,0,1
5653,1,0,0
6703,1,0,0
2921,1,0,0
7784,0,0,1
9839,0,0,1
3653,1,0,0
7565,0,0,1
8670,0,0,1
1128,0,1,0
6973,0,0,1
2331,0,1,0
2208,0,1,0
10776,0,0,1
10389,0,0,1
5766,1,0,0
3153,1,0,0
6095,1,0,0
9157,0,0,1
11074,0,0,1
11205,0,0,1
8113,0,0,1
2374,0,1,0
1632,0,1,0
10682,0,0,1
2298,0,1,0
9917,0,0,1
4252,1,0,0
9096,0,0,1
2721,1,0,0
8926,0,0,1
8764,0,0,1
5751,1,0,0
11538,0,0,1
10505,0,0,1
7774,0,0,1
11399,0,0,1
5094,1,0,0
10131,0,0,1
5787,1,0,0
7410,0,0,1
7600,0,0,1
9496,0,0,1
2550,0,1,0
5804,1,0,0
9026,0,0,1
938,0,1,0
7001,0,0,1
10345,0,0,1
7369,0,0,1
11346,0,0,1
4852,1,0,0
2644,1,0,0
10198,0,0,1
3165,1,0,0
3639,1,0,0
10225,0,0,1
7298,0,0,1
2061,0,1,0
4645,1,0,0
5888,1,0,0
2812,1,0,0
10954,0,0,1
10079,0,0,1
10497,0,0,1
2549,0,1,0
8242,0,0,1
9095,0,0,1
6641,1,0,0
4174,1,0,0
10215,0,0,1
1024,0,1,0
4848,1,0,0
9343,0,0,1
7416,0,0,1
1951,0,1,0
6842,1,0,0
351,0,1,0
6634,1,0,0
9173,0,0,1
4797,1,0,0
5339,1,0,0
3662,1,0,0
6902,1,0,0
4657,1,0,0
8523,0,0,1
3150,1,0,0
11550,0,0,1
4813,1,0,0
10030,0,0,1
8239,0,0,1
5143,1,0,0
2939,1,0,0
4510,1,0,0
1340,0,1,0
10942,0,0,1
1391,0,1,0
6958,0,0,1
6338,1,0,0
9071,0,0,1
6037,1,0,0
1583,0,1,0
1412,0,1,0
5639,1,0,0
10212,0,0,1
2256,0,1,0
8655,0,0,1
2212,0,1,0
2622,1,0,0
7284,0,0,1
4938,1,0,0
8534,0,0,1
3624,1,0,0
5865,1,0,0
4267,1,0,0
10487,0,0,1
463,0,1,0
1754,0,1,0
6300,1,0,0
9948,0,0,1
11575,0,0,1
11345,0,0,1
378,0,1,0
3106,1,0,0
4803,1,0,0
1335,0,1,0
10269,0,0,1
11309,0,0,1
2716,1,0,0
6861,1,0,0
5980,1,0,0
11160,0,0,1
6648,1,0,0
6997,0,0,1
1811,0,1,0
6301,1,0,0
1894,0,1,0
8624,0,0,1
6004,1,0,0
9329,0,0,1
6196,1,0,0
1189,0,1,0
5194,1,0,0
7474,0,0,1
8097,0,0,1
5500,1,0,0
3454,1,0,0
7271,0,0,1
5931,1,0,0
5502,1,0,0
8856,0,0,1
8710,0,0,1
4613,1,0,0
3992,1,0,0
10798,0,0,1
1030,0,1,0
10254,0,0,1
2220,0,1,0
3774,1,0,0
8297,0,0,1
9052,0,0,1
1755,0,1,0
5862,1,0,0
8540,0,0,1
4327,1,0,0
9970,0,0,1
110,0,1,0
7500,0,0,1
8665,0,0,1
2917,1,0,0
1515,0,1,0
11026,0,0,1
11319,0,0,1
10573,0,0,1
9814,0,0,1
2263,0,1,0
6200,1,0,0
5746,1,0,0
9909,0,0,1
9796,0,0,1
893,0,1,0
1490,0,1,0
1850,0,1,0
6934,1,0,0
324,0,1,0
1215,0,1,0
2933,1,0,0
4689,1,0,0
8644,0,0,1
8385,0,0,1
10017,0,0,1
10717,0,0,1
11347,0,0,1
1129,0,1,0
6575,1,0,0
2918,1,0,0
3084,1,0,0
4588,1,0,0
4304,1,0,0
2795,1,0,0
5461,1,0,0
798,0,1,0
734,0,1,0
5577,1,0,0
2244,0,1,0
178,0,1,0
11052,0,0,1
8860,0,0,1
1174,0,1,0
9939,0,0,1
1831,0,1,0
10327,0,0,1
5893,1,0,0
9381,0,0,1
1781,0,1,0
3201,1,0,0
198,0,1,0
10033,0,0,1
4087,1,0,0
5193,1,0,0
548,0,1,0
3339,1,0,0
11010,0,0,1
9635,0,0,1
6249,1,0,0
6524,1,0,0
2532,0,1,0
2314,0,1,0
9598,0,0,1
8314,0,0,1
9629,0,0,1
5471,1,0,0
66,0,1,0
5127,1,0,0
4712,1,0,0
5214,1,0,0
3260,1,0,0
5033,1,0,0
2572,0,1,0
9322,0,0,1
8402,0,0,1
622,0,1,0
1681,0,1,0
787,0,1,0
3332,1,0,0
6360,1,0,0
10187,0,0,1
8149,0,0,1
3280,1,0,0
6502,1,0,0
10648,0,0,1
7676,0,0,1
